STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,PS-GWPop,PS-SWPop,PS-TOPop,PS-WGWFr,PS-WGWSa,PS-WGWTo,PS-WSWFr,PS-WSWSa,PS-WSWTo,PS-WFrTo,PS-WSaTo,PS-Wtotl,DO-SSPop,DO-WGWFr,DO-WSWFr,DO-WFrTo,DO-SSPCp,DO-PSDel,DO-PSPCp,DO-WDelv ,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-Wtotl,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-RecWW,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot,IG-WGWFr,IG-WSWFr,IG-WFrTo,IG-RecWW,IG-CUsFr,IG-IrSpr,IG-IrMic,IG-IrSur,IG-IrTot,LI-WGWFr,LI-WSWFr,LI-WFrTo,AQ-WGWFr,AQ-WGWSa,AQ-WGWTo,AQ-WSWFr,AQ-WSWSa,AQ-WSWTo,AQ-WFrTo,AQ-WSaTo,AQ-Wtotl,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-Wtotl,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-Wtotl,PT-RecWW,PT-PSDel,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PO-WGWFr,PO-WGWSa,PO-WGWTo,PO-WSWFr,PO-WSWSa,PO-WSWTo,PO-WFrTo,PO-WSaTo,PO-Wtotl,PO-RecWW,PO-PSDel,PO-CUsFr,PO-CUsSa,PO-CUTot,PO-Power,PC-WGWFr,PC-WGWSa,PC-WGWTo,PC-WSWFr,PC-WSWSa,PC-WSWTo,PC-WFrTo,PC-WSaTo,PC-Wtotl,PC-RecWW,PC-PSDel,PC-CUsFr,PC-CUsSa,PC-CUTot,PC-Power,TO-WGWFr,TO-WGWSa,TO-WGWTo,TO-WSWFr,TO-WSWSa,TO-WSWTo,TO-WFrTo,TO-WSaTo,TO-Wtotl,TO-CUsFrPartial,TO-CUsSaPartial,TO-CUTotPartial
AL,1,Autauga County,1,1001,2015,55.35,--,--,49.00,3.64,0.00,3.64,0.00,0.00,0.00,3.64,0.00,3.64,6.35,0.38,0.00,0.38,60.00,2.71,55.00,3.09,1.83,0.00,1.83,32.97,0.00,32.97,34.80,0.00,34.80,3.36,0.16,3.52,--,3.52,2.26,0.00,0.00,2.26,3.36,0.00,3.36,--,3.36,2.16,0.00,0.00,2.16,0.00,0.16,0.16,--,0.16,0.10,0.00,0.00,0.10,0.08,0.11,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.62,0.00,0.62,2.02,0.00,2.02,0.00,0.00,0.00,11.86,0.00,11.86,11.86,0.00,11.86,--,--,9.66,0.00,9.66,15711.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.86,0.00,11.86,11.86,0.00,11.86,--,--,9.66,0.00,9.66,15711.64,10.69,0.00,10.69,45.72,0.00,45.72,56.41,0.00,56.41,13.18,0.00,13.18
AL,1,Baldwin County,3,1003,2015,203.71,--,--,174.91,23.67,0.00,23.67,0.00,0.00,0.00,23.67,0.00,23.67,28.80,2.14,0.00,2.14,74.00,12.78,73.00,14.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.17,11.11,58.28,--,58.28,20.66,0.00,0.00,20.66,47.17,6.78,53.95,--,53.95,18.52,0.00,0.00,18.52,0.00,4.33,4.33,--,4.33,2.14,0.00,0.00,2.14,0.13,0.16,0.29,0.05,0.00,0.05,0.05,0.00,0.05,0.10,0.00,0.10,0.22,0.00,0.22,0.00,0.00,0.00,0.22,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,73.38,0.00,73.38,11.32,0.00,11.32,84.70,0.00,84.70,58.28,0.00,58.28
AL,1,Barbour County,5,1005,2015,26.49,--,--,24.59,3.23,0.00,3.23,0.00,0.00,0.00,3.23,0.00,3.23,1.90,0.12,0.00,0.12,63.00,1.42,58.00,1.54,1.50,0.00,1.50,0.00,0.00,0.00,1.50,0.00,1.50,0.57,2.39,2.96,--,2.96,4.53,0.00,0.00,4.53,0.57,1.92,2.49,--,2.49,4.23,0.00,0.00,4.23,0.00,0.47,0.47,--,0.47,0.30,0.00,0.00,0.30,0.16,0.25,0.41,0.18,0.00,0.18,0.18,0.00,0.18,0.36,0.00,0.36,0.30,0.00,0.30,0.14,0.00,0.14,0.44,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,6.06,0.00,6.06,2.96,0.00,2.96,9.02,0.00,9.02,2.96,0.00,2.96
AL,1,Bibb County,7,1007,2015,22.58,--,--,20.95,5.18,0.00,5.18,0.00,0.00,0.00,5.18,0.00,5.18,1.64,0.16,0.00,0.16,98.00,1.81,86.00,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.19,--,0.19,0.16,0.00,0.00,0.16,0.03,0.00,0.03,--,0.03,0.06,0.00,0.00,0.06,0.00,0.16,0.16,--,0.16,0.10,0.00,0.00,0.10,0.03,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.00,0.00,0.00,0.27,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,5.67,0.00,5.67,0.20,0.00,0.20,5.87,0.00,5.87,0.19,0.00,0.19
AL,1,Blount County,9,1009,2015,57.67,--,--,44.82,2.78,0.00,2.78,54.08,0.00,54.08,56.86,0.00,56.86,12.86,0.86,0.00,0.86,67.00,2.79,62.00,3.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.88,1.08,--,1.08,0.94,0.00,0.00,0.94,0.20,0.15,0.35,--,0.35,0.53,0.00,0.00,0.53,0.00,0.73,0.73,--,0.73,0.41,0.00,0.00,0.41,0.43,0.47,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.00,0.00,0.00,0.37,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,4.64,0.00,4.64,55.43,0.00,55.43,60.07,0.00,60.07,1.08,0.00,1.08
AL,1,Bullock County,11,1011,2015,10.70,--,--,9.96,2.11,0.00,2.11,0.00,0.00,0.00,2.11,0.00,2.11,0.74,0.07,0.00,0.07,95.00,0.89,89.00,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,1.08,2.00,--,2.00,1.67,0.00,0.00,1.67,0.92,0.92,1.84,--,1.84,1.61,0.00,0.00,1.61,0.00,0.16,0.16,--,0.16,0.06,0.00,0.00,0.06,0.06,0.10,0.16,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,3.16,0.00,3.16,1.23,0.00,1.23,4.39,0.00,4.39,2.00,0.00,2.00
AL,1,Butler County,13,1013,2015,20.15,--,--,16.81,2.28,0.00,2.28,0.00,0.00,0.00,2.28,0.00,2.28,3.35,0.27,0.00,0.27,81.00,1.35,80.00,1.62,0.20,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.20,0.01,0.98,0.99,--,0.99,0.30,0.00,0.00,0.30,0.01,0.00,0.01,--,0.01,0.02,0.00,0.00,0.02,0.00,0.98,0.98,--,0.98,0.28,0.00,0.00,0.28,0.13,0.19,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,2.89,0.00,2.89,1.17,0.00,1.17,4.06,0.00,4.06,0.99,0.00,0.99
AL,1,Calhoun County,15,1015,2015,115.62,--,--,109.44,22.47,0.00,22.47,2.78,0.00,2.78,25.25,0.00,25.25,6.18,0.44,0.00,0.44,71.00,7.52,69.00,7.96,1.15,0.00,1.15,0.00,0.00,0.00,1.15,0.00,1.15,0.00,3.15,3.15,--,3.15,1.92,0.00,0.00,1.92,0.00,1.39,1.39,--,1.39,1.14,0.00,0.00,1.14,0.00,1.76,1.76,--,1.76,0.78,0.00,0.00,0.78,0.15,0.21,0.36,0.12,0.00,0.12,0.12,0.00,0.12,0.24,0.00,0.24,0.06,0.00,0.06,0.02,0.00,0.02,0.08,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,24.39,0.00,24.39,6.28,0.00,6.28,30.67,0.00,30.67,3.15,0.00,3.15
AL,1,Chambers County,17,1017,2015,34.12,--,--,25.78,0.00,0.00,0.00,4.20,0.00,4.20,4.20,0.00,4.20,8.34,0.48,0.00,0.48,58.00,1.74,67.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.23,--,0.23,0.18,0.00,0.00,0.18,0.07,0.00,0.07,--,0.07,0.12,0.00,0.00,0.12,0.00,0.16,0.16,--,0.16,0.06,0.00,0.00,0.06,0.09,0.13,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.64,0.00,0.64,4.49,0.00,4.49,5.13,0.00,5.13,0.23,0.00,0.23
AL,1,Cherokee County,19,1019,2015,25.86,--,--,17.75,2.43,0.00,2.43,0.77,0.00,0.77,3.20,0.00,3.20,8.11,0.49,0.00,0.49,60.00,1.08,61.00,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.82,2.82,--,2.82,1.87,0.00,0.00,1.87,0.00,2.66,2.66,--,2.66,1.77,0.00,0.00,1.77,0.00,0.16,0.16,--,0.16,0.10,0.00,0.00,0.10,0.16,0.24,0.40,0.51,0.00,0.51,0.00,0.00,0.00,0.51,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--,--,0.00,0.00,0.00,0.00,3.59,0.00,3.59,3.83,0.00,3.83,7.42,0.00,7.42,2.82,0.00,2.82
