State,Statefips,County,Countyfips,Fips,Year,Total population of area,Public Supply total population served,Public supply total withdrawals,Domestic total self-supplied withdrawals,DO-WDelv ,Industrial self-supplied groundwater withdrawals total,Industrial self-supplied surface-water withdrawals total,Industrial self-supplied total withdrawals total,Irrigation total withdrawals fresh,Irrigation acres irrigated total,Livestock total withdrawals fresh,Aquaculture groundwater withdrawals total,Aquaculture surface-water withdrawals total,Aquaculture total withdrawals total,Mining groundwater withdrawals total,Mining surface-water withdrawals total,Mining total withdrawals total,Thermoelectric groundwater withdrawals total,Thermoelectric surface-water withdrawals total,Thermoelectric total withdrawals total,Thermoelectri total consumptive use total,Thermoelectric once-through groundwater withdrawals total,Thermoelectric once-through surface-water withdrawals total,Thermoelectric once-through total withdrawals,Thermoelectric once-through total consumptive use total,Thermoelectric recirculating groundwater withdrawals total,Thermoelectric recirculating total withdrawals total,Thermoelectric recirculating total consumptive use total,Total groundwater withdrawals total,Total surface-water withdrawals total,Total withdrawals total,Irrigation and Thermoelectric total consumptive use total
AL,1,Autauga County,1,01001,2015,55.35,49.0,3.64,0.38,3.09,1.83,32.97,34.8,3.52,2.26,0.19,0.0,0.0,0.0,1.4,0.62,2.02,0.0,11.86,11.86,9.66,0.0,0.0,0.0,0.0,0.0,11.86,9.66,10.69,45.72,56.41,13.18
AL,1,Baldwin County,3,01003,2015,203.71,174.91,23.67,2.14,14.92,0.0,0.0,0.0,58.28,20.66,0.29,0.05,0.05,0.1,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.38,11.32,84.7,58.28
AL,1,Barbour County,5,01005,2015,26.49,24.59,3.23,0.12,1.54,1.5,0.0,1.5,2.96,4.53,0.41,0.18,0.18,0.36,0.3,0.14,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,2.96,9.02,2.96
AL,1,Bibb County,7,01007,2015,22.58,20.95,5.18,0.16,1.97,0.0,0.0,0.0,0.19,0.16,0.07,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.2,5.87,0.19
AL,1,Blount County,9,01009,2015,57.67,44.82,56.86,0.86,3.65,0.0,0.0,0.0,1.08,0.94,0.9,0.0,0.0,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,55.43,60.07,1.08
AL,1,Bullock County,11,01011,2015,10.7,9.96,2.11,0.07,0.96,0.0,0.0,0.0,2.0,1.67,0.16,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,1.23,4.39,2.0
AL,1,Butler County,13,01013,2015,20.15,16.81,2.28,0.27,1.62,0.2,0.0,0.2,0.99,0.3,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,1.17,4.06,0.99
AL,1,Calhoun County,15,01015,2015,115.62,109.44,25.25,0.44,7.96,1.15,0.0,1.15,3.15,1.92,0.36,0.12,0.12,0.24,0.06,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39,6.28,30.67,3.15
AL,1,Chambers County,17,01017,2015,34.12,25.78,4.2,0.48,2.22,0.0,0.0,0.0,0.23,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,4.49,5.13,0.23
AL,1,Cherokee County,19,01019,2015,25.86,17.75,3.2,0.49,1.57,0.0,0.0,0.0,2.82,1.87,0.4,0.51,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,3.83,7.42,2.82
